ranker,player,nationality,position,team,comp_level,age,birth_year,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,matches,player_id
1,Adrián,es ESP,GK,Betis,es La Liga,37,1987,19.0,27,1,2,5,0,26.0,0.33,-1.0,-0.05,58,178,32.6,507,91,28.0,31.2,109,33.0,33.8,257,14,5.4,16,0.84,11.7,Matches,34
2,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,23,2000,13.4,9,1,2,1,0,10.5,0.27,+1.5,+0.11,57,178,32.0,341,51,37.5,33.9,66,75.8,54.9,143,20,14.0,17,1.27,14.2,Matches,43
3,Ben Alexander Voll,de GER,GK,St. Pauli,de Bundesliga,23,2000,1.0,2,0,0,0,0,2.4,0.48,+0.4,+0.41,7,28,25.0,37,5,59.5,44.7,13,46.2,39.7,15,0,0.0,0,0.00,,Matches,83
4,Alisson,br BRA,GK,Liverpool,eng Premier League,31,1992,27.9,29,1,0,2,2,30.5,0.30,+3.5,+0.13,68,203,33.5,877,128,19.7,26.6,80,37.5,33.4,255,11,4.3,49,1.76,16.0,Matches,88
5,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,31,1993,25.1,41,0,0,5,3,35.4,0.31,-2.6,-0.10,135,384,35.2,788,119,34.4,32.1,196,57.7,42.9,394,15,3.8,30,1.19,15.0,Matches,148
6,Kepa Arrizabalaga,es ESP,GK,Bournemouth,eng Premier League,29,1994,31.0,39,4,0,4,0,41.0,0.28,+2.0,+0.07,132,365,36.2,831,122,33.2,32.9,192,46.4,38.7,367,22,6.0,54,1.74,16.0,Matches,161
7,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,22,2002,25.6,37,0,1,3,0,37.0,0.30,0.0,0.00,159,414,38.4,1012,110,32.4,33.1,126,68.3,51.5,377,34,9.0,28,1.09,12.7,Matches,174
8,Emil Audero,id IDN,GK,Como,it Serie A,27,1997,8.0,18,4,0,2,0,12.4,0.27,-5.6,-0.70,17,55,30.9,232,30,22.0,28.6,21,19.0,27.5,95,5,5.3,8,1.00,12.9,Matches,175
9,Brandon Austin,eng ENG,GK,Tottenham,eng Premier League,25,1999,1.0,2,0,0,0,0,2.2,0.55,+0.2,+0.20,3,11,27.3,26,5,38.5,32.3,6,16.7,29.0,15,5,33.3,2,2.00,12.4,Matches,179
10,Augusto Batalla,ar ARG,GK,Rayo Vallecano,es La Liga,28,1996,32.0,39,6,0,6,1,40.0,0.25,+2.0,+0.06,177,534,33.1,989,129,42.3,38.2,184,63.0,51.1,453,35,7.7,38,1.19,14.4,Matches,258
11,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,34,1990,28.0,53,2,1,7,2,52.1,0.36,+1.1,+0.04,178,478,37.2,923,121,41.6,36.5,136,69.1,50.8,407,18,4.4,31,1.11,14.5,Matches,262
12,Altay Bayındır,tr TUR,GK,Manchester Utd,eng Premier League,26,1998,4.0,10,0,0,0,1,10.1,0.59,+1.1,+0.27,13,62,21.0,128,12,34.4,34.1,24,75.0,53.8,56,4,7.1,7,1.75,12.0,Matches,265
13,Daniel Bentley,eng ENG,GK,Wolves,eng Premier League,31,1993,2.0,4,0,1,0,0,3.9,0.33,-0.1,-0.04,7,21,33.3,52,6,25.0,28.1,13,61.5,46.4,25,0,0.0,3,1.50,16.4,Matches,303
14,Dimitry Bertaud,cd COD,GK,Montpellier,fr Ligue 1,26,1998,4.0,11,2,0,0,0,8.8,0.35,-2.2,-0.54,20,47,42.6,86,19,38.4,34.5,27,51.9,43.6,55,8,14.5,3,0.75,13.3,Matches,323
15,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,33,1991,32.0,54,8,1,4,1,46.2,0.31,-6.8,-0.21,218,522,41.8,902,134,42.0,36.0,216,66.2,49.2,459,33,7.2,53,1.66,16.2,Matches,341
16,Jean Butez,fr FRA,GK,Como,it Serie A,29,1995,18.5,20,2,0,1,0,20.1,0.27,+0.1,0.00,90,235,38.3,709,92,30.2,32.0,43,48.8,42.7,190,22,11.6,51,2.76,18.2,Matches,423
17,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,24,1999,34.0,41,2,0,4,1,43.0,0.26,+3.0,+0.09,112,272,41.2,948,173,22.8,28.6,162,34.6,32.3,470,39,8.3,33,0.97,12.8,Matches,425
18,Elia Caprile,it ITA,GK,Cagliari,it Serie A,22,2001,18.0,22,1,0,4,0,23.5,0.35,+1.5,+0.08,132,332,39.8,546,93,44.1,36.8,159,57.2,45.2,266,18,6.8,23,1.28,15.6,Matches,469
19,Elia Caprile,it ITA,GK,Napoli,it Serie A,22,2001,3.6,1,0,0,0,0,2.2,0.27,+1.2,+0.32,11,25,44.0,82,9,25.6,31.7,15,26.7,30.7,31,3,9.7,3,0.83,13.7,Matches,470
