ranker,player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
1,Brenden Aaronson,us USA,"FW,MF",Leeds United,25-021,2000,11,8,711,7.9,1,1,2,1,0,0,1,0,1.7,1.7,1.3,3.0,17,21,38,0.13,0.13,0.25,0.13,0.25,0.21,0.17,0.38,0.21,0.38,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,19-191,2006,5,4,349,3.9,1,0,1,1,0,0,0,0,0.6,0.6,0.0,0.6,4,11,0,0.26,0.00,0.26,0.26,0.26,0.16,0.00,0.16,0.16,0.16,Matches
3,Tyler Adams,us USA,MF,Bournemouth,26-271,1999,11,11,952,10.6,1,1,2,1,0,0,4,0,0.4,0.4,0.1,0.5,6,40,6,0.09,0.09,0.19,0.09,0.19,0.04,0.01,0.05,0.04,0.05,Matches
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,28-049,1997,7,3,381,4.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,15,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
5,Simon Adingra,ci CIV,"FW,MF",Sunderland,23-315,2002,7,4,300,3.3,0,0,0,0,0,0,1,0,0.1,0.1,0.6,0.7,7,2,34,0.00,0.00,0.00,0.00,0.00,0.04,0.18,0.22,0.04,0.22,Matches
6,Amine Adli,ma MAR,"FW,MF",Bournemouth,25-186,2000,8,1,217,2.4,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,8,6,22,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.12,0.04,0.12,Matches
7,Emmanuel Agbadou,ci CIV,DF,Wolves,28-148,1997,8,6,561,6.2,0,0,0,0,0,0,0,1,0.4,0.4,0.1,0.5,3,26,5,0.00,0.00,0.00,0.00,0.00,0.06,0.02,0.08,0.06,0.08,Matches
8,Nayef Aguerd,ma MAR,DF,West Ham,29-227,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,9,0,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
9,Ola Aina,ng NGA,DF,Nott'ham Forest,29-035,1996,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,5,11,8,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches
10,Rayan Aït-Nouri,dz ALG,DF,Manchester City,24-159,2001,4,3,203,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,7,7,8,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.11,0.02,0.11,Matches
