player_id,ranker,player,nationality,position,team,comp_level,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_offsides,passes_blocked,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,minutes_per_game,minutes_pct,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy,cards_yellow_red,fouls,fouled,offsides,pens_won,pens_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct
1,1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24,2000,3,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,8,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0.00,0.00,,,,0,,0.0,0.0,50,63,79.4,887,361,21,25,84.0,24,29,82.8,4,7,57.1,0.0,0.0,0,8,0,0,51,12,2,0,0,2,10,0,0,0,0,0,1,2,2.09,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,2,2,1,1,0,1,1,100.0,0,3,1,2,1,3,0,0,73,2,19,40,15,0,73,2,0,0.0,1,50.0,41,152,68,0,0,1,0,40,29,2.5,61,0,2,13,11,0.67,2,0,+2,+2.09,+1.82,2.3,0.3,+2.0,+2.12,+1.75,0,0,2,0,0,0,0,7,0,0,
2,2,Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,24,2000,4,1,120,1.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,6,10,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0.00,0.00,,,,0,,0.0,0.0,47,66,71.2,705,190,24,30,80.0,21,30,70.0,1,4,25.0,0.0,0.0,1,2,0,0,54,12,1,0,0,5,11,0,0,0,0,0,1,1,0.75,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,4,4,2,2,0,4,5,80.0,1,1,0,1,0,4,3,0,85,1,21,28,36,0,85,4,1,25.0,2,50.0,46,215,103,3,0,3,1,49,30,3.5,73,0,3,16,14,0.75,1,3,-2,-1.50,-1.28,1.5,3.7,-2.3,-1.69,-1.52,0,0,2,0,0,0,0,7,2,1,66.7
3,3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.0,1.38,0.00,0.00,,24.5,0,0.07,-0.1,-0.1,17,29,58.6,268,110,11,14,78.6,4,7,57.1,2,7,28.6,0.0,0.0,0,0,0,0,21,8,0,0,0,1,8,0,0,0,0,0,2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,3,2,2,1,0,3,3,100.0,0,1,0,1,1,4,0,0,36,1,8,19,9,1,36,1,1,100.0,0,0.0,13,101,67,2,1,0,2,16,65,1.9,65,0,0,,8,0.00,1,2,-1,-1.38,-1.14,1.4,0.7,+0.7,+0.93,+1.18,0,2,0,1,0,0,0,2,0,1,0.0
4,4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,20,2004,6,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,4,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.0,1.02,0.00,0.00,,15.0,0,0.06,-0.1,-0.1,36,46,78.3,614,206,13,15,86.7,18,21,85.7,3,8,37.5,0.0,0.0,0,2,0,0,45,1,1,0,0,0,0,0,0,0,0,0,0,1,1.02,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,4,2,4,0,0,2,3,66.7,1,2,1,1,1,5,3,0,65,8,37,22,7,2,65,0,0,,0,,29,219,165,1,1,1,3,34,15,2.6,,0,6,15,12,1.67,2,0,+2,+2.05,+2.50,0.6,1.5,-0.9,-0.91,-0.54,0,4,3,0,0,0,0,7,2,2,50.0
5,5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0.00,0.00,,,,0,,0.0,0.0,2,2,100.0,41,0,0,0,,2,2,100.0,0,0,,0.0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,4,0,3,1,0,0,4,0,0,,0,,1,10,9,0,0,1,0,3,3,0.1,,0,1,3,7,3.00,0,0,0,0.00,-0.79,0.0,0.0,0.0,-0.49,-1.03,0,0,0,0,0,0,0,0,0,0,
6,6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,36,1987,16,11,"1,033",11.5,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,4,22,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,50.0,0.17,0.09,0.00,0.00,10.8,0,0.12,-0.2,-0.2,438,505,86.7,7952,2404,147,160,91.9,263,287,91.6,23,48,47.9,0.3,-0.1,2,28,0,0,461,42,20,0,0,0,3,0,0,0,0,2,1,6,0.55,5,1,0,0,0,0,0,0.00,0,0,0,0,0,0,17,11,15,2,0,10,16,62.5,6,26,18,8,14,31,57,1,641,127,414,215,14,7,641,7,3,42.9,4,57.1,322,1732,837,1,0,8,3,393,65,33.8,85,9,5,19,17,0.94,5,31,-26,-2.27,-1.73,8.0,26.4,-18.4,-1.67,-0.82,0,16,6,0,0,0,0,42,19,10,65.5
7,7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,24,1999,32,32,"2,842",31.6,6,1,7,3,3,4,4,0,6.4,3.2,3.2,6.4,107,207,111,0.19,0.03,0.22,0.10,0.13,0.20,0.10,0.30,0.10,0.20,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,35,8,22.9,1.11,0.25,0.09,0.38,22.6,0,0.09,-0.4,-0.2,1373,1672,82.1,21646,6031,710,807,88.0,531,612,86.8,82,151,54.3,3.7,-2.2,39,171,38,3,1555,107,41,23,13,44,15,10,5,2,0,10,31,94,2.98,80,2,5,1,3,3,5,0.16,3,0,2,0,0,0,48,32,13,20,15,15,48,31.3,33,24,1,23,26,74,28,2,1993,38,293,1149,597,49,1989,121,57,47.1,61,50.4,1183,7595,4388,90,17,55,51,1446,89,92.9,89,25,0,,0,1.03,28,50,-22,-0.70,-1.11,30.8,54.2,-23.4,-0.74,-1.38,0,48,32,3,0,0,0,193,13,20,39.4
8,8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25,1999,12,10,855,9.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,6,52,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0.00,0.00,,,,0,,0.0,0.0,471,521,90.4,8299,2620,195,207,94.2,241,259,93.1,27,44,61.4,0.2,0.0,0,41,1,0,493,28,21,0,7,2,5,0,0,0,0,0,2,8,0.84,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,21,14,12,6,3,13,22,59.1,9,11,5,6,15,36,56,1,635,70,260,331,46,3,635,4,1,25.0,2,50.0,342,1427,822,4,0,4,3,386,71,27.9,83,8,2,12,12,1.92,15,14,+1,+0.11,-0.87,16.5,11.5,+5.0,+0.53,-0.14,0,9,10,0,0,0,0,50,31,19,62.0
9,9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30,1993,25,17,"1,393",15.5,5,2,7,5,0,0,2,0,4.3,4.3,1.9,6.2,35,42,101,0.32,0.13,0.45,0.32,0.45,0.28,0.12,0.40,0.28,0.40,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,29,11,37.9,1.87,0.71,0.17,0.45,16.9,1,0.17,+0.7,+0.7,502,678,74.0,7914,2701,269,314,85.7,188,245,76.7,33,72,45.8,1.7,+0.1,20,19,21,7,551,122,12,0,2,51,110,0,0,0,0,5,22,45,2.91,33,3,4,4,0,1,3,0.19,1,1,0,1,0,0,43,25,18,14,11,28,43,65.1,15,20,6,14,20,63,37,0,886,51,230,349,315,50,886,29,12,41.4,16,55.2,391,1880,1003,15,9,32,14,481,56,45.5,77,6,8,10,1,1.80,26,16,+10,+0.65,-0.16,26.2,18.0,+8.3,+0.54,-0.17,0,27,14,5,0,0,0,72,22,14,61.1
10,10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25,1999,4,2,205,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,6,9,26,0.00,0.44,0.44,0.00,0.44,0.01,0.08,0.09,0.01,0.09,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0.0,0.44,0.00,0.00,,24.7,0,0.03,0.0,0.0,118,136,86.8,1766,368,65,69,94.2,49,55,89.1,2,6,33.3,0.2,+0.8,2,4,4,2,103,33,1,0,0,7,32,0,0,0,0,0,3,6,2.65,5,0,0,0,1,0,1,0.44,1,0,0,0,0,0,3,2,2,0,1,1,1,100.0,0,2,0,2,2,5,0,0,157,0,27,75,56,7,157,8,3,37.5,2,25.0,90,399,175,2,2,5,1,108,51,6.0,62,0,2,41,27,1.50,4,1,+3,+1.32,+0.81,3.6,1.5,+2.1,+0.92,+0.64,0,2,5,0,0,1,0,3,0,1,0.0
